A79026-001 Pair,OEPS-6810
A1,GND
A2,TT3A
A3,TT3A
A4,TT3A
A5,TT3A
A6,TT3B
A7,TT3B
A8,TT3B
A9,TT3B
A10,TT3C
A11,TT3C
A12,TT3C
A13,TT3C
A14,TT3D
A15,TT3D
A16,TT3D
A17,TT3D
A18,REF
A19,GND
A20,TT4D
A21,TT4D
A22,TT4D
A23,TT4D
A24,TT4C
A25,TT4C
A26,TT4C
A27,TT4C
A28,TT3A
A29,TT3A
A30,TT3A
A31,TT3A
A32,TT3A
A33,TT3A
A34,TT3A
A35,TT3A
A36,REF
B1,GND
B2,TT4D
B3,TT4D
B4,TT4D
B5,TT4D
B6,TT4C
B7,TT4C
B8,TT4C
B9,TT4C
B10,TT4A
B11,TT4A
B12,TT4A
B13,TT4A
B14,TT4B
B15,TT4B
B16,TT4B
B17,TT4B
B18,REF
B19,GND
B20,TT4A
B21,TT4A
B22,TT4A
B23,TT4A
B24,TT4B
B25,TT4B
B26,TT4B
B27,TT4B
B28,TT4C
B29,TT4C
B30,TT4C
B31,TT4C
B32,TT4D
B33,TT4D
B34,TT4D
B35,TT4D
B36,REF